BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-23 08:17:11
Total records: 2522

plot	subplot	year	origin	tree status	speccode	tree number	dbh	height	Total (KG)
1149956	1	2005	Natural Stand	L 	13	2752	17.5	14.65	95.9300
1149956	1	2005	Natural Stand	L 	13	2753	19.1	14.31	112.7812
1149956	1	2005	Natural Stand	L 	13	2754	11.1	11	33.8050
1149956	1	2005	Natural Stand	L 	13	2755	4.9	4.95	5.0705
1149956	1	2015	Natural Stand	L 	13	2798	18.1	15.9	107.2220
1149956	1	2015	Natural Stand	L 	13	2799	15.8	15.8	82.1695
1149956	1	2015	Natural Stand	L 	13	2800	14.3	14.7	64.8901
1149956	1	2015	Natural Stand	L 	13	2801	12.6	12.5	46.2754
1149956	1	2015	Natural Stand	L 	13	2802	11.2	11.5	35.1664
1149956	1	2015	Natural Stand	L 	13	2803	12.4	11	42.1773
1149956	1	2015	Natural Stand	L 	13	2804	11.5	9.4	34.1811
1149956	1	2015	Natural Stand	L 	13	2805	10.1	8.4	25.3163
1149956	1	2015	Natural Stand	L 	13	2806	5.5	5.5	6.5316
1149956	1	2015	Natural Stand	L 	13	2807	5.6	5.2	6.7839
1149956	1	2015	Natural Stand	L 	13	2808	4.6	4.3	4.4596
1156631	1	2014	Natural Stand	L 	13	2897	18.9	16.1	117.4745
1156631	1	2014	Natural Stand	L 	13	2898	18.5	15.3	109.5107
1156631	1	2014	Natural Stand	L 	13	2899	12.6	15.2	52.0734
1156631	1	2014	Natural Stand	L 	13	2900	21.2	14.8	141.1926
1156631	1	2014	Natural Stand	L 	13	2901	18	13.9	98.8162
1156631	1	2014	Natural Stand	L 	13	2902	6.9	7.3	11.0639
1156631	1	2014	Natural Stand	L 	13	2903	5.2	6.7	6.0436
1156631	1	2014	Natural Stand	L 	13	2904	6.6	6.6	9.8502
1156631	1	2014	Natural Stand	L 	13	2905	7	6.54	11.1378
1156631	1	2014	Natural Stand	L 	13	2906	5.2	5.2	5.7721
1156631	1	2014	Natural Stand	L 	13	2907	2.5	2.5	1.3108
1156821	1	2006	Natural Stand	L 	13	2944	18.9	13.04	106.1199
1156821	1	2006	Natural Stand	L 	13	2945	18.2	12.89	97.8172
1156821	1	2006	Natural Stand	L 	13	2946	19.5	11.93	109.9800
1156821	1	2006	Natural Stand	L 	13	2947	17.7	11.6	89.0895
1156821	1	2006	Natural Stand	L 	13	2948	15.1	11.57	64.1392
1156821	1	2006	Natural Stand	L 	13	2949	12.2	10.34	39.8283
1156821	1	2006	Natural Stand	L 	13	2950	15.6	9.63	65.4320
1156821	1	2006	Natural Stand	L 	13	2951	11.7	9.11	35.1302
1156821	1	2006	Natural Stand	L 	13	2952	9.1	8.6	20.5310
1156821	1	2006	Natural Stand	L 	13	2953	5.2	6.69	6.0407
1156821	1	2006	Natural Stand	L 	13	2954	5.5	6.04	6.6073
1156821	1	2016	Natural Stand	L 	13	3136	20.2	15.4	130.6820
1156821	1	2016	Natural Stand	L 	13	3137	19.8	15.4	125.6124
1156821	1	2016	Natural Stand	L 	13	3138	21.2	14.6	140.3425
1156821	1	2016	Natural Stand	L 	13	3139	19.3	14.5	115.8723
1156821	1	2016	Natural Stand	L 	13	3140	17	14	88.5036
1156821	1	2016	Natural Stand	L 	13	3141	12.7	11.8	45.6583
1156821	1	2016	Natural Stand	L 	13	3142	17.7	11.6	89.0895
1156821	1	2016	Natural Stand	L 	13	3143	11.5	11.6	37.2075
