SpecCode,SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
22,Eastern White Cedar,SR2230PSP,26.1,16.1,420.2,420.2,420.2,420.2
22,Eastern White Cedar,WWA1999009PSP,21.2,9.97,211.4,211.4,211.4,211.4
22,Eastern White Cedar,CE1035PSP,21.8,14.8,322.6,322.6,322.6,322.6
22,Eastern White Cedar,SR5414PSP,9.2,7.95,73.14,73.14,73.14,73.14
22,Eastern White Cedar,CE1002PSP,30.9,17.84,551.3,551.3,551.3,551.3
22,Eastern White Cedar,HEA1994001PSP,13.2,7.54,99.53,99.53,99.53,99.53
22,Eastern White Cedar,WWA1999008PSP,11.2,7.66,85.79,85.79,85.79,85.79
22,Eastern White Cedar,TIM1999003PSP,43.6,18.4,802.2,802.2,802.2,802.2
22,Eastern White Cedar,FCTEM2003046PGP,27,13.3,359.1,359.1,359.1,359.1
22,Eastern White Cedar,FCBOW78-1385-1PGP,10,6.14,61.4,61.4,61.4,61.4
22,Eastern White Cedar,FECGY610PGP,5.7,6.14,35.0,35.0,35.0,35.0
22,Eastern White Cedar,FCDOM200444PGP,39.9,17.11,682.7,682.7,682.7,682.7
22,Eastern White Cedar,SR5208PSP,16.2,10.44,169.1,169.1,169.1,169.1
25,American Larch,TIM2015001PSP,27.9,21.1,588.7,588.7,588.7,588.7
25,American Larch,FCBOW56-027-0PGP,2.6,4.72,12.27,12.27,12.27,12.27
25,American Larch,1239161PIP,11.6,13.5,156.6,156.6,156.6,156.6
25,American Larch,1184171PIP,16,10.3,164.8,164.8,164.8,164.8
25,American Larch,FCTEM2002006PGP,6.5,13.5,87.75,87.75,87.75,87.75
25,American Larch,FCTEM2002103PGP,24.3,16.9,410.7,410.7,410.7,410.7
25,American Larch,FCBOW12-2003-011PGP,2.8,4.16,11.65,11.65,11.65,11.65
25,American Larch,1184296PIP,14.2,12.2,173.2,173.2,173.2,173.2
25,American Larch,FCBOW4-185-1PGP,33.5,17,569.5,569.5,569.5,569.5
25,American Larch,BP1993016PSP,21.9,18.55,406.2,406.2,406.2,406.2
25,American Larch,FOR2011001PSP,25.2,19.6,493.9,493.9,493.9,493.9
25,American Larch,KAP2005002PGP,8.7,8.5,73.95,73.95,73.95,73.95
25,American Larch,MCR2005003PSP,4.8,5.29,25.39,25.39,25.39,25.39
25,American Larch,COC1994003PSP,13.2,9.5,125.4,125.4,125.4,125.4
25,American Larch,COC1994013PSP,28.5,19.2,547.2,547.2,547.2,547.2
25,American Larch,FCTEM2004002PGP,23.4,20.3,475.0,475.0,475.0,475.0
25,American Larch,HEA1992004PSP,17.1,14.93,255.3,255.3,255.3,255.3
25,American Larch,1197991PIP,27.7,20.2,559.5,559.5,559.5,559.5
25,American Larch,KEN2012001PGP,26.9,22.6,607.9,607.9,607.9,607.9
25,American Larch,MAN1994009PSP,5.5,7.5,41.25,41.25,41.25,41.25
25,American Larch,LSJP1993013PSP,37.3,24.96,931.0,931.0,931.0,931.0
25,American Larch,1294281PIP,2.8,3.5,9.8,9.8,9.8,9.8
25,American Larch,TIM2015001PSP,25.9,22.7,587.9,587.9,587.9,587.9
25,American Larch,1129266PIP,3.7,3.4,12.58,12.58,12.58,12.58
30,Sugar Maple,CE1036PSP,21.5,19,408.5,408.5,408.5,408.5
30,Sugar Maple,CE0012PSP,2.7,5.18,13.99,13.99,13.99,13.99
30,Sugar Maple,ARGS061PGP,43.9,23.47,1030.0,1030.0,1030.0,1030.0
30,Sugar Maple,CE4118PSP,10.3,12.4,127.7,127.7,127.7,127.7
30,Sugar Maple,SR0020PSP,2.6,5.86,15.24,15.24,15.24,15.24
30,Sugar Maple,LD1501PGP,6.6,6.6,43.56,43.56,43.56,43.56
30,Sugar Maple,SR2220PSP,3,5.95,17.85,17.85,17.85,17.85
30,Sugar Maple,HEM_MCLA192PGP,14.2,17,241.4,241.4,241.4,241.4
30,Sugar Maple,ARGS254PGP,10.9,12.5,136.2,136.2,136.2,136.2
30,Sugar Maple,SR2222PSP,16.8,15.91,267.3,267.3,267.3,267.3
30,Sugar Maple,CE7004PSP,2.7,4.97,13.42,13.42,13.42,13.42
30,Sugar Maple,CE0015PSP,2.5,3.66,9.15,9.15,9.15,9.15
30,Sugar Maple,ARGS177PGP,61.7,21.95,1354.0,1354.0,1354.0,1354.0
30,Sugar Maple,CE0034PSP,26.3,22.74,598.1,598.1,598.1,598.1
30,Sugar Maple,HEM_PENT073PGP,11.5,15,172.5,172.5,172.5,172.5
30,Sugar Maple,SR5210PSP,16.5,21.5,354.8,354.8,354.8,354.8
30,Sugar Maple,SR5209PSP,26.3,25.4,668.0,668.0,668.0,668.0
30,Sugar Maple,CE0009PSP,7.5,10.25,76.88,76.88,76.88,76.88
30,Sugar Maple,SR3005PSP,6.5,10.2,66.3,66.3,66.3,66.3
30,Sugar Maple,SR5401PSP,25.3,18.5,468.1,468.1,468.1,468.1
30,Sugar Maple,SR2222PSP,26.1,20.9,545.5,545.5,545.5,545.5
30,Sugar Maple,SR3010PSP,53.3,27.4,1460.0,1460.0,1460.0,1460.0
30,Sugar Maple,CE3017PSP,42.6,23,979.8,979.8,979.8,979.8
30,Sugar Maple,ARGS251PGP,11.7,13.41,156.9,156.9,156.9,156.9
32,Red Maple,CE0026PSP,25,24.7,242.3,NotAv,NotAv,NotAv
32,Red Maple,1232631PIP,16.6,12.57,63.55,NotAv,NotAv,NotAv
32,Red Maple,KLK1994037PSP,5.8,8.05,5.361,NotAv,NotAv,NotAv
32,Red Maple,ARGS064PGP,20.6,19.8,138.5,NotAv,NotAv,NotAv
32,Red Maple,CE3026PSP,9.6,13.3,21.76,NotAv,NotAv,NotAv
32,Red Maple,FCACI_FF200401PGP,5.8,5.84,4.216,NotAv,NotAv,NotAv
32,Red Maple,CE7012PSP,30.3,26.54,378.1,NotAv,NotAv,NotAv
32,Red Maple,FECGY920PGP,35.1,19.9,411.1,NotAv,NotAv,NotAv
