plot	subplot	year	origin	tree status	speccode	tree number	dbh	height	Wood (KG)	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
1136156	1	2017	Natural Stand	L 	13	1408	5.9	5.4	4.1398	0.8197	2.0285	1.1231	3.1516	4.9595	8.1111
1136156	1	2017	Natural Stand	L 	13	1409	7.3	5.3	7.0716	1.3214	2.7413	1.7503	4.4916	8.393	12.8846
1136156	1	2017	Natural Stand	L 	13	1410	2.7	2.83	0.5798	0.142	0.6715	0.2203	0.8918	0.7218	1.6135
1136161	1	2005	Natural Stand	L 	13	1468	20.8	16.75	98.4129	13.8349	12.053	15.5152	27.5682	112.2478	139.816
1136161	1	2005	Natural Stand	L 	13	1469	17	14.01	59.2554	8.7996	9.0611	10.1901	19.2512	68.0551	87.3063
1136161	1	2005	Natural Stand	L 	13	1470	14.4	11.86	39.0349	6.0643	7.1652	7.2104	14.3756	45.0992	59.4747
1136161	1	2005	Natural Stand	L 	13	1471	12.6	8.13	27.901	4.4948	5.9321	5.4589	11.3911	32.3958	43.7869
1136161	1	2005	Natural Stand	L 	13	1472	11.2	7.29	20.7485	3.4513	5.0219	4.2708	9.2927	24.1998	33.4925
1136161	1	2005	Natural Stand	L 	13	1473	5.9	5.92	4.1398	0.8197	2.0285	1.1231	3.1516	4.9595	8.1111
1136161	1	2010	Natural Stand	L 	13	1572	20.8	16	98.4129	13.8349	12.053	15.5152	27.5682	112.2478	139.816
1136161	1	2010	Natural Stand	L 	13	1573	17	13.2	59.2554	8.7996	9.0611	10.1901	19.2512	68.0551	87.3063
1136161	1	2010	Natural Stand	L 	13	1574	13.7	11.1	34.4373	5.423	6.6776	6.4992	13.1768	39.8604	53.0371
1136161	1	2010	Natural Stand	L 	13	1575	13.9	9.2	35.7156	5.6022	6.8159	6.6984	13.5143	41.3178	54.8321
1136161	1	2010	Natural Stand	L 	13	1576	13.4	8.6	32.5723	5.1603	6.4717	6.2061	12.6778	37.7326	50.4105
1136161	1	2010	Natural Stand	L 	13	1577	11.7	7.5	23.1572	3.8065	5.3419	4.6778	10.0196	26.9637	36.9833
1136161	1	2010	Natural Stand	L 	13	1578	13.3	6.73	31.9645	5.0743	6.4035	6.11	12.5135	37.0388	49.5524
1136161	1	2010	Natural Stand	L 	13	1579	6.3	5.1	4.8823	0.9496	2.2257	1.2876	3.5133	5.8318	9.3452
1136161	1	2010	Natural Stand	L 	13	1580	6.3	4.3	4.8823	0.9496	2.2257	1.2876	3.5133	5.8318	9.3452
1136161	1	2010	Natural Stand	L 	13	1581	5	3.9	2.7303	0.5655	1.6051	0.7955	2.4006	3.2958	5.6964
1136161	1	2021	Natural Stand	L 	13	1677	21	16.9	100.8099	14.135	12.2172	15.8277	28.0449	114.945	142.9899
